  MONTH    DAY     YEAR     HOUR     TEMP     HUMID    SOLAR    WIND
       1       16       90        0     60.3   0.0097      0.7     6.66
       1       16       90      100     59.5   0.0103      0.7     8.55
       1       16       90      200     59.3   0.0108      0.7     6.58
       1       16       90      300     58.8   0.0107      0.9     7.82
       1       16       90      400     58.6 0.008467      0.9     8.37
       1       16       90      500       59 0.008847      0.9     8.81
       1       16       90      600     59.6 0.010097      0.7     7.89
       1       16       90      700       61 0.009118      0.6     8.41
       1       16       90      800     62.1 0.010912        7    10.17
       1       16       90      900     63.2   0.0125     54.8     9.29
       1       16       90     1000     64.5   0.0131    126.3     9.24
       1       16       90     1100     65.3   0.0134    107.8     9.79
       1       16       90     1200     66.4   0.0133      149     9.18
       1       16       90     1300     67.9   0.0126    168.8      9.2
       1       16       90     1400     68.3   0.0132    138.3     8.17
       1       16       90     1500     69.5    0.013    135.8     8.96
       1       16       90     1600     69.8   0.0129     68.5     9.77
       1       16       90     1700       69   0.0133     51.1     7.84
       1       16       90     1800     68.6   0.0137     19.9     7.07
       1       16       90     1900     68.3   0.0134      0.1     6.99
       1       16       90     2000     67.3   0.0142      0.3     7.09
       1       16       90     2100     66.6   0.0141      0.1     7.96
       1       16       90     2200       66   0.0138      0.3     8.05
       1       16       90     2300       66   0.0138      0.1     8.19
       1       17       90        0       66   0.0138      0.1     6.77
       1       17       90      100     65.7   0.0137      0.3     5.86
       1       17       90      200     65.5   0.0136      0.3     5.17
       1       17       90      300     65.5 0.013911      0.3     4.95
       1       17       90      400     66.2 0.014294      0.3     6.69
       1       17       90      500       67 0.014064      0.1     10.7
       1       17       90      600     67.2 0.014476      0.1    10.73
       1       17       90      700       67 0.014736      0.1    10.22
       1       17       90      800     66.8 0.014298     12.1     8.62
       1       17       90      900     67.2 0.013511     93.6     8.04
       1       17       90     1000     68.2   0.0149     81.2     11.5
       1       17       90     1100     68.7   0.0151    124.3    10.58
       1       17       90     1200     68.8   0.0152    181.2     9.91
       1       17       90     1300       69   0.0153    130.5     9.31
       1       17       90     1400     68.3    0.015     76.3     7.43
       1       17       90     1500     67.3   0.0144     94.6      7.5
       1       17       90     1600     67.8 0.013917     56.8     5.75
       1       17       90     1700     68.7   0.0152     29.2     5.79
       1       17       90     1800       69   0.0153      4.5     5.08
       1       17       90     1900     68.6   0.0151        0     7.89
       1       17       90     2000     68.2    0.015        0     6.25
       1       17       90     2100       68 0.012933        0      5.2
       1       17       90     2200     67.6   0.0131        0      5.7
       1       17       90     2300     67.6 0.011512        0      4.6
       1       18       90        0     67.3 0.014818        0     3.73
       1       18       90      100     66.7 0.015728      0.1      2.6
       1       18       90      200     66.5 0.015324      0.1     1.93
       1       18       90      300     66.3 0.015146      0.1     1.42
       1       18       90      400     65.7 0.014862      0.1     2.47
       1       18       90      500     64.2    0.013      0.1     5.27
       1       18       90      600     62.3 0.012354      0.3     6.11
       1       18       90      700     62.5 0.012487      0.3     4.43
       1       18       90      800     62.8 0.012221      0.7     2.54
       1       18       90      900       61 0.010289      8.4     4.65
       1       18       90     1000     60.4 0.010038     51.9     5.65
       1       18       90     1100     64.6  0.01141    147.8     5.48
       1       18       90     1200     68.2 0.012839    172.4     6.73
       1       18       90     1300     69.8   0.0157    287.4     8.44
       1       18       90     1400     69.7   0.0157    183.2     7.98
       1       18       90     1500     70.4   0.0161    144.4      7.8
       1       18       90     1600     69.6   0.0156    115.1     6.71
       1       18       90     1700     71.7   0.0151     90.4     6.39
       1       18       90     1800       71   0.0152      8.9     9.88
       1       18       90     1900     69.3   0.0154     -0.1    10.68
       1       18       90     2000     68.9   0.0153     -0.1    11.04
       1       18       90     2100     68.7   0.0152     -0.1    10.12
       1       18       90     2200     68.5   0.0151     -0.1    11.41
       1       18       90     2300     68.5   0.0151     -0.1    11.35
       1       19       90        0       68   0.0148     -0.1    10.62
       1       19       90      100     67.7   0.0146        0    10.49
       1       19       90      200     67.5   0.0145        0     9.34
       1       19       90      300     67.6   0.0146        0     9.64
       1       19       90      400     67.4   0.0145        0     9.87
       1       19       90      500     67.5   0.0145     -0.1    10.33
       1       19       90      600     67.3   0.0144        0    10.73
       1       19       90      700       67   0.0143     -0.1    10.64
       1       19       90      800       67   0.0143      2.8    11.72
       1       19       90      900     67.3   0.0144     31.9    10.55
       1       19       90     1000       68   0.0148    100.9    10.66
       1       19       90     1100     68.5    0.015     65.5    11.63
       1       19       90     1200       68   0.0148     48.5    10.27
       1       19       90     1300     68.5   0.0151    271.3    10.93
       1       19       90     1400     70.5   0.0161    234.7    12.63
       1       19       90     1500     66.9   0.0132      106    14.71
       1       19       90     1600       58     0.01    160.5    14.83
       1       19       90     1700     56.7   0.0095       47    11.49
       1       19       90     1800       56   0.0087      7.2    12.15
       1       19       90     1900     55.7   0.0085      0.6    11.08
       1       19       90     2000     54.7   0.0073      0.7    11.11
       1       19       90     2100     53.7   0.0069      0.9    11.27
       1       19       90     2200     53.1   0.0066      0.9     9.78
       1       19       90     2300     52.7    0.006      0.9     9.86
       1       20       90        0     52.2   0.0055      0.9     9.57
       1       20       90      100     53.3   0.0056        1     9.04
       1       20       90      200     50.8    0.005        1     8.03
       1       20       90      300     50.1    0.005      1.1      7.4
